Número de documentos (tweets) del corpus: 18046
Número de palabras del corpus: 235230
Palabra: alive Frec: 33 lnProb: -8.94
Palabra: allegedly Frec: 6 lnProb: -10.53
Palabra: allergies Frec: 7 lnProb: -10.39
Palabra: alleviate Frec: 10 lnProb: -10.07
Palabra: allocated Frec: 8 lnProb: -10.27
Palabra: allow Frec: 118 lnProb: -7.69
Palabra: allowed Frec: 82 lnProb: -8.05
Palabra: allowing Frec: 46 lnProb: -8.62
Palabra: allows Frec: 19 lnProb: -9.48
Palabra: almond Frec: 4 lnProb: -10.86
Palabra: aloe Frec: 8 lnProb: -10.27
Palabra: alonetogether Frec: 4 lnProb: -10.86
Palabra: alongside Frec: 8 lnProb: -10.27
Palabra: alot Frec: 7 lnProb: -10.39
Palabra: altering Frec: 5 lnProb: -10.68
Palabra: alternate Frec: 6 lnProb: -10.53
Palabra: alternative Frec: 23 lnProb: -9.29
Palabra: alternativedata Frec: 3 lnProb: -11.08
Palabra: alternatives Frec: 7 lnProb: -10.39
Palabra: amazed Frec: 7 lnProb: -10.39
Palabra: amazes Frec: 3 lnProb: -11.08
Palabra: amazing Frec: 100 lnProb: -7.86
Palabra: amazon Frec: 24 lnProb: -9.25
Palabra: ambulance Frec: 12 lnProb: -9.91
Palabra: amend Frec: 3 lnProb: -11.08
Palabra: amid Frec: 269 lnProb: -6.87
Palabra: amidst Frec: 44 lnProb: -8.66
Palabra: ammo Frec: 7 lnProb: -10.39
Palabra: ammonia Frec: 3 lnProb: -11.08
Palabra: amounts Frec: 22 lnProb: -9.34
Palabra: amp Frec: 2542 lnProb: -4.63
Palabra: ample Frec: 6 lnProb: -10.53
Palabra: amwriting Frec: 5 lnProb: -10.68
Palabra: analyse Frec: 3 lnProb: -11.08
Palabra: analysis Frec: 34 lnProb: -8.92
Palabra: analyst Frec: 11 lnProb: -9.99
Palabra: analysts Frec: 8 lnProb: -10.27
Palabra: analytics Frec: 6 lnProb: -10.53
Palabra: analyzed Frec: 6 lnProb: -10.53
Palabra: ancestors Frec: 3 lnProb: -11.08
Palabra: ancient Frec: 3 lnProb: -11.08
Palabra: ang Frec: 3 lnProb: -11.08
Palabra: angry Frec: 6 lnProb: -10.53
Palabra: animal Frec: 23 lnProb: -9.29
Palabra: animals Frec: 14 lnProb: -9.76
Palabra: anniversary Frec: 3 lnProb: -11.08
Palabra: announce Frec: 31 lnProb: -9.01
Palabra: announced Frec: 109 lnProb: -7.77
Palabra: announcement Frec: 26 lnProb: -9.18
Palabra: announcements Frec: 5 lnProb: -10.68
Palabra: announces Frec: 17 lnProb: -9.58
Palabra: announcing Frec: 14 lnProb: -9.76
Palabra: annoying Frec: 3 lnProb: -11.08
Palabra: annual Frec: 11 lnProb: -9.99
Palabra: annuals Frec: 3 lnProb: -11.08
Palabra: anonymous Frec: 4 lnProb: -10.86
Palabra: answer Frec: 53 lnProb: -8.48
Palabra: answered Frec: 16 lnProb: -9.64
Palabra: answering Frec: 5 lnProb: -10.68
Palabra: answers Frec: 28 lnProb: -9.1
Palabra: anti Frec: 10 lnProb: -10.07
Palabra: antibacterial Frec: 20 lnProb: -9.43
Palabra: antibiotics Frec: 3 lnProb: -11.08
Palabra: antibodies Frec: 4 lnProb: -10.86
Palabra: anticipate Frec: 10 lnProb: -10.07
Palabra: anticipated Frec: 7 lnProb: -10.39
Palabra: anticipation Frec: 5 lnProb: -10.68
Palabra: antimalarial Frec: 3 lnProb: -11.08
Palabra: antimicrobial Frec: 3 lnProb: -11.08
Palabra: antiviral Frec: 4 lnProb: -10.86
Palabra: anxiety Frec: 30 lnProb: -9.04
Palabra: anxious Frec: 19 lnProb: -9.48
Palabra: anybody Frec: 6 lnProb: -10.53
Palabra: anymore Frec: 19 lnProb: -9.48
Palabra: anytime Frec: 7 lnProb: -10.39
Palabra: anyways Frec: 5 lnProb: -10.68
Palabra: apart Frec: 70 lnProb: -8.21
Palabra: apartment Frec: 9 lnProb: -10.17
Palabra: apartments Frec: 4 lnProb: -10.86
Palabra: apnea Frec: 4 lnProb: -10.86
Palabra: apocalypse Frec: 16 lnProb: -9.64
Palabra: apologise Frec: 10 lnProb: -10.07
Palabra: apologize Frec: 7 lnProb: -10.39
Palabra: app Frec: 55 lnProb: -8.45
Palabra: apparel Frec: 3 lnProb: -11.08
Palabra: apparent Frec: 6 lnProb: -10.53
Palabra: apparently Frec: 20 lnProb: -9.43
Palabra: appeal Frec: 12 lnProb: -9.91
Palabra: appealing Frec: 9 lnProb: -10.17
Palabra: appear Frec: 11 lnProb: -9.99
Palabra: appearance Frec: 3 lnProb: -11.08
Palabra: appeared Frec: 5 lnProb: -10.68
Palabra: appearing Frec: 6 lnProb: -10.53
Palabra: appears Frec: 12 lnProb: -9.91
Palabra: applaud Frec: 14 lnProb: -9.76
Palabra: applauded Frec: 5 lnProb: -10.68
Palabra: applauding Frec: 3 lnProb: -11.08
Palabra: applause Frec: 6 lnProb: -10.53
Palabra: apple Frec: 4 lnProb: -10.86
Palabra: appliances Frec: 12 lnProb: -9.91
Palabra: applicable Frec: 4 lnProb: -10.86
Palabra: application Frec: 10 lnProb: -10.07
Palabra: applications Frec: 11 lnProb: -9.99
Palabra: applied Frec: 11 lnProb: -9.99
Palabra: applies Frec: 9 lnProb: -10.17
Palabra: apply Frec: 39 lnProb: -8.78
Palabra: applying Frec: 6 lnProb: -10.53
Palabra: appointment Frec: 9 lnProb: -10.17
Palabra: appointments Frec: 6 lnProb: -10.53
Palabra: appreciate Frec: 96 lnProb: -7.9
Palabra: appreciated Frec: 41 lnProb: -8.73
Palabra: appreciates Frec: 4 lnProb: -10.86
Palabra: appreciation Frec: 29 lnProb: -9.07
Palabra: appreciative Frec: 3 lnProb: -11.08
Palabra: approach Frec: 29 lnProb: -9.07
Palabra: approaches Frec: 5 lnProb: -10.68
Palabra: appropriate Frec: 12 lnProb: -9.91
Palabra: appropriately Frec: 7 lnProb: -10.39
Palabra: approval Frec: 9 lnProb: -10.17
Palabra: approve Frec: 11 lnProb: -9.99
Palabra: approved Frec: 59 lnProb: -8.38
Palabra: approx Frec: 4 lnProb: -10.86
Palabra: approximately Frec: 7 lnProb: -10.39
Palabra: apps Frec: 36 lnProb: -8.86
Palabra: arbitrage Frec: 3 lnProb: -11.08
Palabra: area Frec: 108 lnProb: -7.78
Palabra: areas Frec: 51 lnProb: -8.52
Palabra: aren Frec: 17 lnProb: -9.58
Palabra: argue Frec: 4 lnProb: -10.86
Palabra: argues Frec: 5 lnProb: -10.68
Palabra: arguing Frec: 4 lnProb: -10.86
Palabra: argument Frec: 4 lnProb: -10.86
Palabra: arguments Frec: 4 lnProb: -10.86
Palabra: arising Frec: 5 lnProb: -10.68
Palabra: arizona Frec: 3 lnProb: -11.08
Palabra: arm Frec: 8 lnProb: -10.27
Palabra: armed Frec: 5 lnProb: -10.68
Palabra: arms Frec: 9 lnProb: -10.17
Palabra: army Frec: 12 lnProb: -9.91
Palabra: arrange Frec: 5 lnProb: -10.68
Palabra: arrangements Frec: 7 lnProb: -10.39
Palabra: arrested Frec: 3 lnProb: -11.08
Palabra: arrival Frec: 3 lnProb: -11.08
Palabra: arrive Frec: 10 lnProb: -10.07
Palabra: arrived Frec: 14 lnProb: -9.76
Palabra: arrives Frec: 4 lnProb: -10.86
Palabra: arriving Frec: 7 lnProb: -10.39
Palabra: arrows Frec: 5 lnProb: -10.68
Palabra: arse Frec: 6 lnProb: -10.53
Palabra: art Frec: 19 lnProb: -9.48
Palabra: arthritis Frec: 4 lnProb: -10.86
Palabra: article Frec: 128 lnProb: -7.61
Palabra: articles Frec: 16 lnProb: -9.64
Palabra: artificial Frec: 6 lnProb: -10.53
Palabra: artificially Frec: 6 lnProb: -10.53
Palabra: artisanal Frec: 4 lnProb: -10.86
Palabra: artist Frec: 13 lnProb: -9.83
Palabra: artists Frec: 11 lnProb: -9.99
Palabra: arts Frec: 5 lnProb: -10.68
Palabra: artwork Frec: 3 lnProb: -11.08
Palabra: asap Frec: 3 lnProb: -11.08
Palabra: asda Frec: 6 lnProb: -10.53
Palabra: ashamed Frec: 8 lnProb: -10.27
Palabra: aside Frec: 21 lnProb: -9.38
Palabra: ask Frec: 103 lnProb: -7.83
Palabra: asked Frec: 85 lnProb: -8.02
Palabra: asking Frec: 79 lnProb: -8.09
Palabra: asks Frec: 13 lnProb: -9.83
Palabra: aspect Frec: 4 lnProb: -10.86
Palabra: aspects Frec: 7 lnProb: -10.39
Palabra: ass Frec: 18 lnProb: -9.53
Palabra: asses Frec: 4 lnProb: -10.86
Palabra: assess Frec: 8 lnProb: -10.27
Palabra: assessment Frec: 6 lnProb: -10.53
Palabra: asset Frec: 26 lnProb: -9.18
Palabra: assets Frec: 15 lnProb: -9.7
Palabra: asshole Frec: 8 lnProb: -10.27
Palabra: assholes Frec: 5 lnProb: -10.68
Palabra: assignments Frec: 6 lnProb: -10.53
Palabra: assist Frec: 25 lnProb: -9.21
Palabra: assistance Frec: 66 lnProb: -8.27
Palabra: assistant Frec: 9 lnProb: -10.17
Palabra: assistants Frec: 9 lnProb: -10.17
Palabra: assisting Frec: 4 lnProb: -10.86
Palabra: associate Frec: 6 lnProb: -10.53
Palabra: associated Frec: 7 lnProb: -10.39
Palabra: associates Frec: 21 lnProb: -9.38
Palabra: association Frec: 6 lnProb: -10.53
Palabra: assume Frec: 13 lnProb: -9.83
Palabra: assuming Frec: 3 lnProb: -11.08
Palabra: assumptions Frec: 3 lnProb: -11.08
Palabra: assure Frec: 16 lnProb: -9.64
Palabra: assured Frec: 19 lnProb: -9.48
Palabra: assures Frec: 7 lnProb: -10.39
Palabra: assuring Frec: 3 lnProb: -11.08
Palabra: asthma Frec: 6 lnProb: -10.53
Palabra: asthmatic Frec: 4 lnProb: -10.86
Palabra: astronomical Frec: 5 lnProb: -10.68
Palabra: asymptomatic Frec: 12 lnProb: -9.91
Palabra: ate Frec: 3 lnProb: -11.08
Palabra: athletes Frec: 11 lnProb: -9.99
Palabra: atleast Frec: 6 lnProb: -10.53
Palabra: atm Frec: 9 lnProb: -10.17
Palabra: atmosphere Frec: 4 lnProb: -10.86
Palabra: attached Frec: 9 lnProb: -10.17
Palabra: attack Frec: 3 lnProb: -11.08
Palabra: attempt Frec: 14 lnProb: -9.76
Palabra: attempted Frec: 3 lnProb: -11.08
Palabra: attempting Frec: 9 lnProb: -10.17
Palabra: attend Frec: 13 lnProb: -9.83
Palabra: attendants Frec: 17 lnProb: -9.58
Palabra: attending Frec: 3 lnProb: -11.08
Palabra: attention Frec: 24 lnProb: -9.25
Palabra: attitude Frec: 7 lnProb: -10.39
Palabra: attitudes Frec: 22 lnProb: -9.34
Palabra: attorney Frec: 5 lnProb: -10.68
Palabra: attract Frec: 5 lnProb: -10.68
Palabra: attractive Frec: 6 lnProb: -10.53
Palabra: auction Frec: 3 lnProb: -11.08
Palabra: audiences Frec: 5 lnProb: -10.68
Palabra: aunt Frec: 3 lnProb: -11.08
Palabra: ausbiz Frec: 4 lnProb: -10.86
Palabra: auspol Frec: 32 lnProb: -8.97
Palabra: australia Frec: 3 lnProb: -11.08
Palabra: author Frec: 3 lnProb: -11.08
Palabra: authorities Frec: 29 lnProb: -9.07
Palabra: authority Frec: 6 lnProb: -10.53
Palabra: authorized Frec: 4 lnProb: -10.86
Palabra: authors Frec: 3 lnProb: -11.08
Palabra: auto Frec: 20 lnProb: -9.43
Palabra: automated Frec: 3 lnProb: -11.08
Palabra: automatic Frec: 4 lnProb: -10.86
Palabra: automatically Frec: 10 lnProb: -10.07
Palabra: automation Frec: 7 lnProb: -10.39
Palabra: automotive Frec: 9 lnProb: -10.17
Palabra: avail Frec: 4 lnProb: -10.86
Palabra: availability Frec: 27 lnProb: -9.14
Palabra: available Frec: 318 lnProb: -6.71
Palabra: ave Frec: 3 lnProb: -11.08
Palabra: average Frec: 39 lnProb: -8.78
Palabra: aviation Frec: 3 lnProb: -11.08
Palabra: avid Frec: 3 lnProb: -11.08
Palabra: avoid Frec: 118 lnProb: -7.69
Palabra: avoided Frec: 4 lnProb: -10.86
Palabra: avoiding Frec: 12 lnProb: -9.91
Palabra: await Frec: 4 lnProb: -10.86
Palabra: awaiting Frec: 3 lnProb: -11.08
Palabra: awake Frec: 3 lnProb: -11.08
Palabra: award Frec: 3 lnProb: -11.08
Palabra: aware Frec: 51 lnProb: -8.52
Palabra: awareness Frec: 27 lnProb: -9.14
Palabra: away Frec: 181 lnProb: -7.27
Palabra: awesome Frec: 30 lnProb: -9.04
Palabra: awful Frec: 9 lnProb: -10.17
Palabra: awhile Frec: 4 lnProb: -10.86
Palabra: awkward Frec: 3 lnProb: -11.08
Palabra: b Frec: 38 lnProb: -8.81
Palabra: babies Frec: 8 lnProb: -10.27
Palabra: baby Frec: 44 lnProb: -8.66
Palabra: backbone Frec: 5 lnProb: -10.68
Palabra: backed Frec: 11 lnProb: -9.99
Palabra: background Frec: 3 lnProb: -11.08
Palabra: backlogged Frec: 3 lnProb: -11.08
Palabra: bacon Frec: 7 lnProb: -10.39
Palabra: bacteria Frec: 17 lnProb: -9.58
Palabra: bacterial Frec: 5 lnProb: -10.68
Palabra: bad Frec: 58 lnProb: -8.39
Palabra: badge Frec: 3 lnProb: -11.08
Palabra: badly Frec: 7 lnProb: -10.39
Palabra: bag Frec: 55 lnProb: -8.45
Palabra: baggers Frec: 5 lnProb: -10.68
Palabra: bagging Frec: 5 lnProb: -10.68
Palabra: bags Frec: 76 lnProb: -8.13
Palabra: bail Frec: 11 lnProb: -9.99
Palabra: bailing Frec: 3 lnProb: -11.08
Palabra: bailout Frec: 11 lnProb: -9.99
Palabra: bailouts Frec: 12 lnProb: -9.91
Palabra: baked Frec: 11 lnProb: -9.99
Palabra: bakeries Frec: 4 lnProb: -10.86
Palabra: bakers Frec: 5 lnProb: -10.68
Palabra: bakery Frec: 14 lnProb: -9.76
Palabra: baking Frec: 6 lnProb: -10.53
Palabra: balance Frec: 15 lnProb: -9.7
Palabra: balcony Frec: 4 lnProb: -10.86
Palabra: ball Frec: 6 lnProb: -10.53
Palabra: balls Frec: 4 lnProb: -10.86
Palabra: bamy Frec: 3 lnProb: -11.08
Palabra: ban Frec: 10 lnProb: -10.07
Palabra: banana Frec: 4 lnProb: -10.86
Palabra: bananas Frec: 11 lnProb: -9.99
Palabra: band Frec: 5 lnProb: -10.68
Palabra: bandana Frec: 6 lnProb: -10.53
Palabra: bandwidth Frec: 3 lnProb: -11.08
Palabra: bank Frec: 126 lnProb: -7.63
Palabra: bankers Frec: 16 lnProb: -9.64
Palabra: banking Frec: 12 lnProb: -9.91
Palabra: bankruptcy Frec: 4 lnProb: -10.86
Palabra: banks Frec: 149 lnProb: -7.46
Palabra: banned Frec: 6 lnProb: -10.53
Palabra: banning Frec: 12 lnProb: -9.91
Palabra: bans Frec: 12 lnProb: -9.91
Palabra: bar Frec: 23 lnProb: -9.29
Palabra: barcode Frec: 3 lnProb: -11.08
Palabra: bare Frec: 36 lnProb: -8.86
Palabra: barely Frec: 9 lnProb: -10.17
Palabra: bargain Frec: 15 lnProb: -9.7
Palabra: bargaining Frec: 4 lnProb: -10.86
Palabra: barrel Frec: 13 lnProb: -9.83
Palabra: barrels Frec: 4 lnProb: -10.86
Palabra: barren Frec: 4 lnProb: -10.86
Palabra: barrier Frec: 6 lnProb: -10.53
Palabra: barriers Frec: 8 lnProb: -10.27
Palabra: bars Frec: 25 lnProb: -9.21
Palabra: base Frec: 16 lnProb: -9.64
Palabra: baseball Frec: 4 lnProb: -10.86
Palabra: based Frec: 154 lnProb: -7.43
Palabra: bases Frec: 4 lnProb: -10.86
Palabra: basic Frec: 82 lnProb: -8.05
Palabra: basically Frec: 17 lnProb: -9.58
Palabra: basics Frec: 12 lnProb: -9.91
Palabra: basis Frec: 20 lnProb: -9.43
Palabra: basket Frec: 24 lnProb: -9.25
Palabra: basketball Frec: 3 lnProb: -11.08
Palabra: baskets Frec: 14 lnProb: -9.76
Palabra: bastard Frec: 3 lnProb: -11.08
Palabra: batch Frec: 5 lnProb: -10.68
Palabra: bathroom Frec: 17 lnProb: -9.58
Palabra: batteries Frec: 3 lnProb: -11.08
Palabra: battle Frec: 28 lnProb: -9.1
Palabra: battling Frec: 9 lnProb: -10.17
Palabra: bay Frec: 13 lnProb: -9.83
Palabra: bazaar Frec: 4 lnProb: -10.86
Palabra: bbcnews Frec: 4 lnProb: -10.86
Palabra: bc Frec: 37 lnProb: -8.83
Palabra: bcpoli Frec: 3 lnProb: -11.08
