Número de documentos (tweets) del corpus: 15398
Número de palabras del corpus: 201117
Palabra: blocked Frec: 13 lnProb: -9.69
Palabra: blocking Frec: 14 lnProb: -9.62
Palabra: blocks Frec: 7 lnProb: -10.25
Palabra: blog Frec: 40 lnProb: -8.62
Palabra: blood Frec: 16 lnProb: -9.5
Palabra: bloody Frec: 28 lnProb: -8.96
Palabra: blow Frec: 23 lnProb: -9.15
Palabra: blowing Frec: 6 lnProb: -10.39
Palabra: blows Frec: 6 lnProb: -10.39
Palabra: board Frec: 16 lnProb: -9.5
Palabra: bodies Frec: 8 lnProb: -10.13
Palabra: body Frec: 13 lnProb: -9.69
Palabra: bog Frec: 25 lnProb: -9.07
Palabra: bogus Frec: 10 lnProb: -9.93
Palabra: bomb Frec: 7 lnProb: -10.25
Palabra: bond Frec: 7 lnProb: -10.25
Palabra: bonds Frec: 11 lnProb: -9.85
Palabra: book Frec: 47 lnProb: -8.46
Palabra: booked Frec: 11 lnProb: -9.85
Palabra: booking Frec: 7 lnProb: -10.25
Palabra: books Frec: 12 lnProb: -9.77
Palabra: boom Frec: 7 lnProb: -10.25
Palabra: boomers Frec: 6 lnProb: -10.39
Palabra: booming Frec: 10 lnProb: -9.93
Palabra: boost Frec: 18 lnProb: -9.39
Palabra: boosting Frec: 6 lnProb: -10.39
Palabra: booze Frec: 6 lnProb: -10.39
Palabra: border Frec: 15 lnProb: -9.56
Palabra: borders Frec: 17 lnProb: -9.44
Palabra: bored Frec: 17 lnProb: -9.44
Palabra: boredom Frec: 12 lnProb: -9.77
Palabra: borrowers Frec: 6 lnProb: -10.39
Palabra: boss Frec: 17 lnProb: -9.44
Palabra: bosses Frec: 9 lnProb: -10.03
Palabra: bother Frec: 6 lnProb: -10.39
Palabra: bottle Frec: 38 lnProb: -8.67
Palabra: bottled Frec: 10 lnProb: -9.93
Palabra: bottles Frec: 23 lnProb: -9.15
Palabra: bought Frec: 121 lnProb: -7.53
Palabra: bounce Frec: 8 lnProb: -10.13
Palabra: bound Frec: 10 lnProb: -9.93
Palabra: box Frec: 31 lnProb: -8.87
Palabra: boxes Frec: 26 lnProb: -9.04
Palabra: boy Frec: 6 lnProb: -10.39
Palabra: boycott Frec: 11 lnProb: -9.85
Palabra: boys Frec: 10 lnProb: -9.93
Palabra: brace Frec: 7 lnProb: -10.25
Palabra: bracing Frec: 10 lnProb: -9.93
Palabra: bragging Frec: 7 lnProb: -10.25
Palabra: branch Frec: 8 lnProb: -10.13
Palabra: brand Frec: 18 lnProb: -9.39
Palabra: branding Frec: 12 lnProb: -9.77
Palabra: brands Frec: 42 lnProb: -8.57
Palabra: bread Frec: 109 lnProb: -7.63
Palabra: break Frec: 37 lnProb: -8.69
Palabra: breakdown Frec: 12 lnProb: -9.77
Palabra: breakfast Frec: 7 lnProb: -10.25
Palabra: breaking Frec: 22 lnProb: -9.2
Palabra: breaks Frec: 18 lnProb: -9.39
Palabra: breath Frec: 10 lnProb: -9.93
